id,npc,tipo,closeness,deseo,confianza,compromiso,regimen,marco,dificultad,ultimo_cambio,hitos,notas
momo-001,Yaoyorozu Momo,romántico,9,asentado,total,pareja,anclado,ARBOL-MADRE (eje del bosque; 3 condiciones + acta cuídanos),6,2026-07-03,"S2-S3: bento, meñique, primer beso, declaración, rosa, primer toque; confesión del bosque → DILEMA. S4/D4: Akari le contó TODO el Quirk entre muros (Eco, drenaje/Drácula, la amenaza del coleccionista) Y lo del BORRADO (si es maceta/débil, el gobierno podría eliminarlo). Momo vio que la maceta = su muerte; RESOLVIÓ EL DILEMA: acepta ser el ÁRBOL MADRE/eje del bosque, no un círculo más, por amor y por su vida. Rechazó que Akari le borrara la memoria (línea roja). Akari se arrodilló ofreciéndole control; ella lo rechazó (dar y liberar) y definió su MARCO. Fueron a ver el piso favorito (inasequible: 260k+garante → plan: esperar los dormitorios). Planearon el HOTEL del DOMINGO (day-use 14-20h, sin coartada) para la primera vez. S6/D5: recibió la doctrina 'ERES TODAS LAS TARTAS' (es la balanza, otra dimensión, no compite con las flores); reafirmó su marco BAJO PRUEBA (le dolió que la flor fuera su amiga Jirō, pero lo sostuvo); PRIMERA INTIMIDAD SEXUAL plena menos el coito (cunnilingus + digital, ambos primerizos en eso), guardando el coito para el domingo; cena doméstica de konbini + ducha juntos (enjabonar la espalda); conversación del futuro/su padre (la carga es de ella, 3 años). Ahora carga el secreto de que su amiga Jirō está en el bosque. S7/D6: NO fue al centro (protegió la coartada ella misma). VIDEOLLAMADA = ESTRENO DEDICADO del look ('llévalo mañana, quiero quitártelo yo'). LOGÍSTICA DEL DOMINGO FIJADA: 13:15 té en la cafetería del toldo verde → 13:40 ella sube → 13:55 él llega → 14:00 check-in (entradas separadas; reserva a nombre falso; el resto del pago lo lleva ella encima 'no discutas eso hoy'). Mensajes de madrugada: 'echo de menos mañana' / 'el universo y las duchas: mañana empiezo a pagarte el universo' → ella: ''Echo de menos mañana' me lo quedo. Es lo más bonito que me han escrito nunca. REPASA EL PLAN. Tuya. M.'. S8/D7 — EL DÍA DE MOMO (ver ev-083..095): té del toldo verde (condición 1 CUMPLIDA antes del hotel: Toru con nombre + Mina disclosed; consejo del árbol: 'sus cicatrices no se mueven de sitio'; pagó ella el resto del hotel en secreto). Tsuki-no-Ma 411: estreno del look, Yosano Akiko, banderines en los condones, PRIMERA VEZ (×3 rondas; 'ya no echo de menos mañana. ES AHORA'; 1er orgasmo coital de ella en la 3ª, SIMULTÁNEO no buscado), bebió su DESFLORACIÓN + BESO DE SANGRE en su clímax (tipo A; sintonización COMPLETA; recuerdos recibidos: el flechazo del aula día 1 + la hoja de pros/contras rota en cuatro), BLACKROOT presentado (aceptada en manada; su enmienda: 'me lo traes de vuelta. A mí'), herida-y-reparación del 'tía' ('convertí mi miedo en jurisprudencia'), 'papel y boli', PROMESA DE MATRIMONIO de Akari → 'la respuesta YA EXISTE' con CONDICIÓN: pedírsela DESPUÉS de su guerra (padre/apellido; muko-yōshi); 'señora Hayami' (colección, 1er puesto); protocolo de alimentación + SUSCRIPCIÓN A LA FUENTE (regla viernes 24; cólicos día 1 = experimento savia); alas separadas de sus padres confirmadas → cláusula DORMIR JUNTOS; HIJOS sin jaula de oro ('nadie me había regalado una infancia con 30 años de antelación'), firmado 'Momo A Secas'. Lo vistió al salir (reverso del estreno).","Target #1, PAREJA CONSOLIDADA, dilema resuelto. MARCO de Momo (3 raíces, NO cadenas): (1) HONESTIDAD — se lo cuenta cuando una flor FLORECE (se consuma/beso), con nombre, ella antes que nadie; no cada semilla latente. (2) DIGNIDAD — su lugar de árbol madre claro, sin humillación. (3) CERTEZA — abrazarla cuando le duela y recordarle que es el centro. Las flores saben que hay 'un árbol' (dignidad) SIN saber que es Momo (secreto/padre protegidos). Relación SECRETA. Deseo abierto no consumado; primera vez planeada — el domingo en el hotel para la primera vez; MOMO YA SABE que es el domingo (en S6 se habló del plan abiertamente; la 'sorpresa del día' ya no aplica); Momo pidió ser la 1ª en ver el look nuevo de Akari en privado antes que nadie; hotel RESERVADO en S5/D5 (Tsuki-no-Ma, suite, ¥16.800, señal ¥5.000 pagada, resto en recepción). ASIMETRÍA DE AFECTO (real y narrativamente rica, NO error): Akari→Momo = 10 (entrega absoluta, sin red, con una cicatriz de duda —el borrado— que la hace real, no de cartón); Momo→Akari = 8 (amor profundo de pareja consolidada, pero con reserva de autoprotección por su carácter orgulloso/inseguro y por lo mucho que arriesga —apellido, padre, vida montada—; su 9-10 se gana cuando la realidad la empuje a soltar el último margen: enfrentar al padre, la primera vez, sostener el bosque sin romperse). El número registrado (8) = lado de Momo; el 10 de Akari lo vive el jugador. PACTO de vida DECLARADO (elegirse por encima de la muerte) pero viviendo CONDICIONES de 8 (secreto, sin convivencia, sin probar por la realidad). El 'a primera vista' de ambos = FLECHAZO (deseo instantáneo), no el amor construido (closeness edificado en 4 días de densidad). Sub-delegada (no delegada). ⚠️ CONDICIÓN 1 ACTIVADA (S7/D6): Hagakure FLORECIÓ → Akari debe contárselo a Momo CON NOMBRE, ella antes que nadie, 'muy pronto' (así se lo afirmó a Toru: 'esa es su condición y la cumplo siempre'). PENDIENTE — y el D7 es precisamente el día de Momo (gestionar cuándo: ¿antes del hotel, después, lunes?). Con Jirō la cumplió el mismo día. → S8/D7: CUMPLIDA (té, antes del hotel, con nombre); Momo conoce ya TODAS las flores con nombre (Jirō/Toru/Mina) y ajustó el marco: noticias cara a cara. CLOSENESS 8→9 (primera vez + fases de margen soltadas en cadena + respuesta de matrimonio 'ya existe'); el 10 llegará con SU GUERRA GANADA (padre/apellido/3 años) — condición para la proposición formal. DESEO → asentado (consumado, suscrito, con programa). MOMO = PRIMERA DONANTE (sintonización completa: su sangre rinde AB pleno +40; micro-toma diaria pactada — pendiente DÓNDE por las mañanas sin romper la coartada). Tipo A. Ciclo 28,3d: regla el VIERNES 24 (cólicos día 1 — experimento savia). Sabe del hambre y del techo anti-bengala (ella es el comité de ética del drenaje). Conoce a Blackroot. 'Señora Hayami' = uso interno. Condicionamiento clásico instalado (gag): oír 'Yaoyorozu' en clase. CANON CORREGIDO (jugador, S9/D8): Akari le PREPARÓ bento todos los días desde D2 salvo el finde D6-D7 (las compras de konbini D2-D5 = ingredientes), y SIEMPRE con intención nutricional (grasas para Creación — la cuidaba desde ANTES de estar juntos); el D8 es 'solo' el primer bento post-consumación + primera micro-toma. Micro-toma D8 hecha (entre-muros, lanceta creada por ella); PRIMER NO a la savia EN ESCENA con hambre activa y donante presente ('sienta jurisprudencia'). S9/D9: micro-toma diaria (2ª declinación consecutiva del hambre, ya de trámite); PUNTO FIJO MATINAL RESUELTO = candidato 3 de su matriz = BIOMBO MÓVIL DE CREACIÓN (opaco, lo despliega/reabsorbe en cualquier hueco; no dependen de un sitio, dependen de ella — 'me gusta depender de ti'); azotea añadida como candidato de lujo futuro. El biombo ESTRENÓ función no-tabulada: EXCEPCIÓN íntima en el entre-muros (él la llevó al clímax con la mano, 6 min de cronómetro, silencio, biombo+punto ciego = burbuja; POV Momo: la ingeniera soltando el control que tanto cuida; 'eficiencia récord, lo meto en la matriz') — enmarcado por ella como excepción, NO protocolo ('no me acostumbres a llegar a Ley Heroica con las rodillas flojas'). AJUSTE DEL MARCO (S9/D9, fin de jornada): Akari le propuso NO contarle los detalles/agenda de las citas ('no aportan nada, solo dolor'); Momo lo REDEFINE con precisión — quiere la VERDAD (quién y cuándo, ella primera, cara a cara) pero NO la COREOGRAFÍA (dónde, a qué hora exacta, qué dice): 'el dolor de saber lo gestiono con método; el dolor de imaginar no tiene método. Ahórrame el detalle, no la verdad.' Marco honestidad intacto, micro-detalle podado. Sobre la promesa/'merecer su mano ante los suyos': Momo corrige — la guerra es SUYA (padre/apellido/muko-yōshi); Akari no tiene que ganarse al padre (que querría absorberlo), tiene que EXISTIR cuando ella gane su libertad. Akari le confirmó cara a cara la cita con Toru de esa noche (marco cumplido)."
jiro-001,Jirō Kyōka,romántico,7,abierto,alta,pareja,volátil,sabe-que-hay-arbol-sin-nombre,5,2026-07-03,"S2-S3: notas, Disorder, pacto viernes sala 3. S4/D4: beat en clase (le calmó el miedo a mañana); CENA de ramen espontánea (le confesó que necesitaba verlo 'humano' antes de abrirse; meñique enganchado, decidido por ella); la acompañó a casa de la mano; casi-beso GUARDADO para la sala 3 (ella lo pausó: 'que sea en mi sitio'); ABRAZO de puro sentimiento en su portal que la desarmó hasta las lágrimas ('nadie me abraza así'). S6/D5 FLORECIÓ (sala 3): cantó la canción que no le canta a nadie ('por fin alguien no se fue'), PRIMER BESO iniciado por ella, Akari le bebió las lágrimas y le confesó el ESPEJO (su canción es la vida de Akari); en la calle le DISCLOSÓ el bosque (hay un árbol sin nombre; necesidad existencial, no lujuria); aceptó entrar pese al dolor; pidió oír el nombre a futuro y Akari se lo NEGÓ (no jura en falso), ella lo respetó. Techo sobre la ropa esta semana. Le avisó de la salida del Bakusquad. S7/D6: declinó la multitud del centro ('anoche me abrí mucho, hoy estoy en carne viva — no es por ti, es al revés'); CITA LUNES en sitio pequeño, estudiar+abrazo ('el orden lo decido yo: primero el abrazo, siempre'). Le mandó NOTA DE VOZ (0:38) con un fragmento de SU canción, grabada bajito ('la completa te la doy en persona. Es tuya. No la enseñes a nadie'). Al mensaje nocturno de Akari ('cabes en un bolsillo y en el pecho no me cabes'): 'me lo robo para una canción, queda avisado el copyright'.",Target #2 — PAREJA no exclusiva (dentro del bosque). S6/D5 FLORECIÓ (ver hitos): química consumada hasta el beso; entró al bosque; pacto mutuo de 'el máximo' + declaración de amor. Akari YA se lo contó a Momo (condición 1 CUMPLIDA). 'Nightfall' reservada para más adelante. Cercana a Momo (Momo lo sabe; Jirō NO sabe que el árbol es Momo). S8/D7 noche: buenas noches ('el orden confirmado. estudiar, abrazo— no, espera. abrazo, estudiar. ves, por escrito también me sale al revés. hasta mañana, ladrón de frases'). CITA LUNES D8 en pie (sitio pequeño; canción completa prometida en persona).
ashido-001,Ashido Mina,romántico,6,abierto,alta,casual,volátil,sol-luna (bosque; ritmo lento; herida limpia),3,2026-07-03,"S2-S3: 'adorable', Bakusquad, mensaje sol/luna. S4: sin gran cambio. S6/D5 (izakaya + calle): ENTRADA MAYOR AL BOSQUE. Conversación honda: ella disclosó su sombra (usa el sexo para sentirse vista; de cría 'monstruo'; 4 parejas reales + un lío pasado y MUERTO con Kaminari); Akari disclosó su trauma de abandono; le DISCLOSÓ el bosque. PRIMER BESO (calle) + morreo que ELLA FRENÓ (no borrachos/público, no ser 'una farola más'). Su ácido pierde control cuando le importa quién la besa. S7/D6: en el centro comercial eligió UNA pieza del look (cadena fina canalla: 'la llevas por mí' — él la lleva puesta desde entonces). Despedida limpia; CITA FIJADA: JUEVES, la organiza ella, sitio pequeño, solos, SORPRESA ('y a lo mejor ahí sí te dejo cobrar algo. Lento. Como pactamos'). Mensaje nocturno de Akari ('brillas con, no para... ni se te ocurra ir lejos') → 'me he tapado con la almohada para no gritar. brillo con. 🌙☀️'. NO sospecha nada de Toru ni de nadie.","Target — el 'sol y luna' de 1-A con sombra propia. PACTO: entra en el bosque a ritmo lento; NO exclusividad pero HERIDA LIMPIA (avisar/romper antes de estar con otro); cita la semana que viene (la organiza ella); su primera vez con Akari NO será un accidente borracho (él virgen guardándose). CONOCE la existencia del bosque (jurada a discreción 'por sus cuernos'). Deseo abierto. Sabe fingir para cubrir ('le acompaño al metro'). NIEBLA (sabe más de lo básico): Akari le dijo que el bosque es NECESIDAD VITAL literal suya y que su QUIRK SE DESESTABILIZA (peligroso) con el corazón roto — ella asumió 'responsabilidad de cuidar esa parte'. Su TELL del ácido (con-017) se le escapó DOS veces en el D6 por Akari: en la escalera mecánica (tras 'brillas con, no para') y en la despedida — le importa más de lo que dice. S8/D7 noche: buenas noches ('🌙☀️ buenas noches bobo. (el jueves trae hambre)') — no especifica de qué. CITA JUEVES D11 en pie. NOTA S8: su lío muerto con Kaminari es SEMI-PÚBLICO en el Bakusquad (Akari lo oyó en el izakaya) pero ella se lo contó ANTES con los ojos: esa versión no se mueve de sitio (consejo del árbol)."
hagakure-001,Hagakure Tōru,romántico,8,abierto,alta,casual,volátil,verse-y-ver (transparencia total; pacto de salida; ENTRADA AL BOSQUE RATIFICADA),4,2026-07-03,"S3-S6: 'estilosa', proyecto de estilismo, número conseguido, rubor leído. S7/D6 — SU DÍA (floreció ENTERA): PROBADOR (primer beso + Akari le reveló que LA VE ENTERA + primer orgasmo de su vida, manual). Dirigió el glow-up completo (el 'boceto descartado' era un look para él; la chaqueta CARMESÍ = 'es tú' sin saber por qué). Tarde en el hostal: sexo ORAL mutuo (1ª vez de ambos; sin coito), 'pase al revés' (él le describió el cuerpo entero por la sangre), detectó el sabor del Verdant ('sal y algo verde'). DISCLOSURE del Quirk (savia, percepción, el porqué del rojo) y luego EL BOSQUE COMPLETO (5ª consciente): fricción honesta ('desigual'), PACTO DE SALIDA antes del de entrada, arquitectura de dignidad; se NEGÓ a adivinar nombres. SEGUNDA PIEL DE SAVIA: SE VIO en el espejo por 1ª vez desde los 5 años (lunar mandíbula izq., flequillo, 'la risa de mi madre'); oral frente al espejo viéndose; 'como la Toru de mañana renuncie a ESTO la mato yo'. Lo cuidó; okonomiyaki; cine; beso del limonero en su portal. Mensaje final: 'el mejor día de mi vida y lo he VISTO'.","FLORECIÓ (closeness 4→7 en un día — justificado: primer beso, primera vez sexual de ambos, dos secretos mayores intercambiados, hito vital de verse). RATIFICADO S8/D7 11:47 ('la Toru de mañana ha revisado el contrato de la Toru de ayer buscando defectos de forma. No los hay. FIRMO... Quiero el MARTES'): DENTRO DEL BOSQUE. CITA MARTES D9 confirmada por Akari ('convertido en sí'); sitio sorpresa elegido por ella ('tres listas'). Buenas noches del D7: 'dile a TU martes que se vaya preparando... buenas noches, colega que me ve ✨(esa soy yo)'. El TE-QUIERO sigue ARMADO Y SIN DISPARAR (buscará su momento limpio — quizá el martes). NO sabe: drenaje, borrado, avalista, ningún nombre del bosque. Promesa de Akari: NI UNA MENTIRA ('si no puedo contarlo, te digo que no puedo'). SABE el porqué del rojo (savia, deducido por ella: '¡te vestí de tu propia sangre!'); lo que NO sabe es la capa del AVATAR CARMESÍ (esa ironía se le debe algún día). REGALO PERMANENTE: la segunda piel ('no caduca' — puede pedir verse cuando quiera). Deuda económica de Akari con ella: ¥33.800. Familia: padre translucidez parcial, madre bioluminiscencia leve; invisible total desde los 5 (no recordaba su cara). Vocación: heroína de RESCATE. Toque de queda 21:30 semana / 23:30 finde. Si dice sí: cita la semana próxima (día que elija, salvo jueves; martes ofrecido condicionado a reprogramar a Ibara). FRASE-SELLO del limonero: 'Gracias por verme. Todo lo demás de hoy es propina.' TE-QUIERO ARMADO Y SIN DISPARAR: rehusó decirlo en la primera respuesta ('no te voy a estrenar la promesa mintiéndote'), confesó 'me gustas desde antes de hoy, desde el susurro en clase', y tras el espejo: 'estoy PELIGROSAMENTE cerca, y me niego a decírtelo por primera vez cubierta de tus fluidos'. Promesa literal de Akari: 'Prefiero hacerte una herida limpia antes que una caricia falsa.' Su herida doble nombrada por ella: ser vista como MUJER y como ARTISTA ('que te digan eres una genia POR LO QUE HACES y no un qué mona'). ⭐ CITA MARTES S9/D9 (estudio de fotografía prestado de una amiga estilista, PRIVADO): fue DESNUDA e invisible del brazo de Akari por Musutafu (su travesura total; solo él la ve). REVELACIÓN MAYOR: Akari le disclosó el DRENAJE (bebe sangre, 'planta con sed' no vampiro) con consentimiento informado COMPLETO (recuerdos involuntarios/mordisco sensual/posible fragmento=invisibilidad); ella pactó 'si ves algo mío que no elegí, lo cuidas'; Akari distinguió 'no entro sin permiso, tú abres la puerta antes' y juró irse debilitado antes que forzarla → ella dio un SÍ propio, no arrancado. EL DRENAJE quedó PENDIENTE (el regalo lo pospuso). SEGUNDA PIEL en el estudio ante el espejo de bombillas (se vio guapa 'en el sitio donde se hace la gente que existe'). ⭐⭐ TE-QUIERO DISPARADO (su 'lista tres' secreta): 'Te quiero, Akari' dicho VISTA, guapa, sobria, a los ojos — como se juró decirlo. REGALO de Akari: le montó su PRIMERA SESIÓN DE FOTOS (vestido de modelo + flor de savia creada por él; foto de ella arrodillada entregándole la flor + fotos de los dos) — las primeras imágenes de su vida en las que ELLA sale, entera, para llevárselas a casa. Akari SÍ respondió — y en pleno: le corrigió que se lo lleva diciendo desde el probador (D6), el oral en su habitación (D6), el cine y el beso del portal con su madre bioluminiscente brillando en la ventana (D6); se lo dijo explícito AHORA ('te quiero, y te lo diré mañana y todos los días') y le ofreció AMOR PLENO si lo quiere, o solo el te-quiero si no quiere ir más lejos — ELLA marca el camino; él crece a su ritmo para no amarla más que ella a él y sufrir ('voy contigo, de la mano, hasta la emoción que me quieras llevar'). Marco del bosque intacto y explícito ('hay un árbol; no te quita nada a ti ni tú a ella'). AMOR MUTUO DECLARADO (ella lista tres; él pleno con agencia de ella). Closeness 7→8. NO sabe: borrado, avalista, ningún nombre del bosque, ni la capa del Avatar Carmesí. CULMINACIÓN DE LA CITA (S9/D9, sofá del estudio): PRIMERA VEZ COMPLETA con Toru (coito; antes solo oral en S7) — con protección (condón; Akari ya no es virgen de coito desde Momo/D7, Toru sí lo era). Él la llevó al orgasmo con oral+dedos viéndola (segunda piel puesta: se vio a sí misma deseada en el espejo de bombillas — pago del arco 'ser vista'); ella le hizo oral; coito tierno (primera vez de ella). PRIMER DRENAJE DE TORU consentido, entrelazado con el coito (mordisco en su clímax con él dentro): inicia sintonización (donante nueva; repone pool de Akari); RECUERDO INVOLUNTARIO visto y CUIDADO (jurado): Toru con ~5 años dándose cuenta de que ya no se veía en el espejo + su madre bioluminiscente brillando en la oscuridad para que la niña supiera dónde estaba 'mamá' — la raíz de su herida. FRAGMENTO de su Quirk obtenido: INVISIBILIDAD (1 uso/1 escena, en inventario, como el de Creación de Momo) — 'entender su invisibilidad desde dentro'. Deseo → consumado/pleno; régimen sigue volátil (bosque no exclusivo) pero con AMOR MUTUO declarado. Tras el coito bebió su DESFLORACIÓN (por fuera y por dentro, su primera sangre + flujo, sin dejar nada) — MISMO RITUAL que con Momo (D7): la primera sangre de la virginidad. 2ª ingesta el mismo día → sintonización con Toru muy avanzada (casi completa, patrón Momo). TIPO DE SANGRE de Toru: O (para Akari AB receptor universal, rinde +20 base subiendo a AB pleno con sintonización, R6/R10). CIERRE DE LA CITA: Akari le SALDÓ la deuda de ¥33.800 (deuda CERRADA) + le dio/imprimió sus FOTOS para llevárselas a casa; la llevó EN BRAZOS a su portal (piernas temblando; su madre bioluminiscente brilló en la ventana). ACUERDOS DE ALIMENTACIÓN pactados (como con Momo): (1) DONANTE REGULAR — Toru acepta alimentarlo cuando lo necesite (le gusta dar, es 'O universal'); (2) BEBER SU REGLA — Toru acepta que Akari beba su sangre menstrual ('gratuita/desperdiciada'; mecánica R6-bis nivel 1: sangre ya perdida = recurso libre, medio rendimiento, SIN flashbacks) + ángulo savia-vs-cólicos como con Momo. CICLO de Toru: ~28 días, próxima regla ~26-27 may (dentro de ~5-6 días). DEUDA con Hagakure: SALDADA (ya no debe nada)."
midnight-001,Nemuri Kayama (Midnight),romántico,0,latente,baja,ninguno,volátil,—,6,2026-07-02,,Declarada potencial. Profesora (Historia del Arte Heroico). Tabú. S6 (flashback D3): FICHÓ a Akari como 'el nuevo que piensa' tras una respuesta afilada en clase ('la percepción ES el trabajo'). Sin contacto real todavía. NO abrir deseo (latente).
shiozaki-001,Ibara Shiozaki,romántico,4,abierto,alta,ninguno,volátil,a-la-luz-y-con-cabeza (cortejo lento),4,2026-07-01,"S3: 1er entrenamiento de savia (tracción admitida, savias entrelazadas, cortejo lento por su fe). S4/D4: Akari fue a plantearle un 'experimento raro' (en secreto: drenaje/mordida — beber su sangre, ver efectos) pero se echó atrás; en su lugar le hizo CRECER rosas de savia carmesí entrelazadas con su jazmín ('una oración de sangre y flor'). Ibara conmovida, respetó que él se guardara el experimento. Se llevó el jazmín-y-rosas a su cuarto.","1-B, vides. Carácter canon (religiosa, seria). Deseo abierto mutuo, cortejo lento contenido por su fe. Entrenamiento miér+vier. EXPERIMENTO pendiente (drenaje): se lo propondrá con CONSENTIMIENTO INFORMADO COMPLETO (condición de Momo: debe saber ANTES lo de recuerdos/sabor/fragmento). CORRECCIÓN DE MESA S8: el 'plantón' del viernes fue ELIPSIS DEL GM, no fallo del PC — no había cita confirmada ese día concreto, solo el hueco canon; no hay disculpa DEBIDA, sí conversación conveniente (¿le esperó?; miércoles va seguro). CONTACTO CONSEGUIDO en ficción (S9/D8, invernadero: se lo pidió al despedirse; 'los números también son alianzas pequeñas'). S9/D8 almuerzo: conversación del EXPERIMENTO completada C→B→A (su fe primero, el porqué/hambre después, el qué clínico al final: recuerdos/sabor/fragmento; 'tu no es tan bienvenido como tu sí'); raíces carmesíes trenzadas con sus vides durante toda la charla; ella NO contesta en caliente — lo lleva a sus ORACIONES; respuesta el MIÉRCOLES con la savia ('ofrecida o nada'). Sabe que Akari ya bebió de UNA persona con consentimiento (nombre protegido — y eso la tranquilizó: así guardaría también lo suyo)."
uraraka-001,Uraraka Ochaco,romántico,1,latente,baja,ninguno,volátil,—,5,2026-07-01,"S4/D4: Akari abrió el vínculo por la vía de la PRECARIEDAD COMPARTIDA ('la misma tribu': los que hacen números mientras otros sueñan, origen humilde). Uraraka tocada de ser vista en eso (nadie lo ve). Amistad plantada, limpia, sin invadir su terreno con Midoriya.",Potencial abierta. Gravita hacia Midoriya (terreno minado — respetado). Conexión de origen humilde/precariedad.
asui-001,Asui Tsuyu (Froppy),romántico,1,latente,baja,ninguno,volátil,—,5,2026-06-30,S1: lo leyó. Sin interacción reciente.,"Potencial abierta. Honesta, directa."
kendo-001,Itsuka Kendo,romántico,6,despertando,alta,explorando,anclado,umbral-cruzado,4,2026-07-04,"S1-S3: hermandad de armas (ANCLA), 'lo otro' abierto. S4/D4: almuerzo — le contó lo de Nezu (versión general); ella INTUYÓ que hay 'alguien más pesando antes que ella' y estableció su posición: NO ser plato de segunda mesa, deja la PUERTA ENTORNADA (ni cerrada ni abierta). Akari le corrigió lo del 'segundo plato' con el modelo de CÍRCULOS CONCÉNTRICOS (no ranking; cada una única, nadie resta; Momo=balanza sin nombre). Mensajes ('toc toc ¿puedo entrar?' — ella: 'ven de frente cuando sepas qué eres'). S7/D6: mensajes — Akari propuso correr juntos + café + broma de la puerta ('¿voy a ver si está entrecerrada? ;)') → ella: 'sigue ENTORNADA, no entreabierta. Ven de frente cuando sepas qué eres. Pero me ha hecho gracia'; café HECHO (semana próxima); reto: correr MIÉRCOLES 6:30 'si tienes agallas' → contraoferta nocturna de Akari: 6:30 es de vagos, 5:30, Gamma o tarde ('te acabo de subir la apuesta') — RESPUESTA PENDIENTE. Mensaje de madrugada 'respeto la puerta como está' → ella: 'escribir a las 00:30 eso ES llamar a la puerta, y lo sabes. Pero es la mejor forma de llamar que has tenido hasta ahora.'. S8/D7 9:12: ACEPTÓ el reto — '5:30 lo propone uno que manda mensajes a las 00:30. Me encanta la incoherencia. ACEPTO: miércoles, 5:30, Gamma. El que llegue tarde paga el café cruzado entero. Trae las agallas que anuncias.' Buenas noches nocturnas de Akari SIN RESPUESTA (dormía; le llegará al alba).",Vínculo fuerte ANCLADO por hermandad + química latente. Líder 1-B. PUERTA ENTORNADA: Kendo decidirá con info completa cuando Akari 'sepa qué es y qué puede darle'. Café cruzado pendiente. Cercana a Jirō. ⭐ S10/D10 (5:56 Gamma, tras correr): Akari vino DE FRENTE (lo que ella exigió). Le dio la VERDAD COMPLETA del marco: hay alguien a quien ama por encima de toda escala (el árbol, sin nombre), un marco de amor libre sin jerarquías entre las flores con sinceridad total; le ofreció TODO (sinceridad, presencia, cuidados, carreras/patrullas, música, cafés, cuerpo/'llevarte al cielo', ayuda académica, sus traumas/hambre/oscuridad Y su luz, un futuro, cenas con sus padres, colarse en su cama, HIJOS si ella quiere) MENOS renunciar al árbol o decir su nombre. Kendo PROCESÓ (POV): su orgullo de no-ser-segunda vs la distinción árbol/flores; la verdad le VALIÓ (él no la engaña). CRUZÓ EL UMBRAL — abrió la puerta a su ritmo y con SUS TÉRMINOS: (1) no comparar/no ranking, su círculo es SUYO, no quiere saber de las otras; (2) honestidad total; (3) ella marca su ritmo, no la apuran; (4) dignidad — privada sí, secreto vergonzante NO; (5) la HERMANDAD DE ARMAS es la base intocable. Se cobró el 'abrazo giratorio'/PRIMER BESO a su manera. Closeness 5→6, deseo latente→despertando, marco puerta-entornada→umbral-cruzado, compromiso→explorando. NO sabe el nombre del árbol ni de las otras flores (marco: no quiere saberlo).
tokage-001,Setsuna Tokage (Lizardy),romántico,0,latente,baja,ninguno,volátil,—,4,2026-06-29,,Potencial abierta. 1-B.
